kp_code,job_title
1210.1,"Генеральний директор (голова, президент, інший керівник) об'єднання підприємств (асоціації, корпорації, концерну, радіокомпанії, телекомпанії, телерадіокомпанії, телерадіо-, інформаційного агентства і т. ін.)"
1210.1,Генеральний директор – керівник Національного органу інтелектуальної власності
1210.1,Генеральний конструктор
1210.1,Голова Рахункової палати України
1210.1,Голова Центральної виборчої комісії
1210.1,Голова виконавчого органу акціонерного товариства
1210.1,Голова клубу(спортивного)
1210.1,Голова колективного господарства
1210.1,Голова ліквідаційної комісії
1210.1,Голова правління
1210.1,Голова ради директорів
1210.1,Голова ради директорів біржі
1210.1,Голова спостережної (наглядової) ради
1210.1,Голова товариства
1210.1,"Головний редактор газети, журналу"
1210.1,"Директор (генеральний директор, начальник, інший керівник) наукової установи (організації)"
1210.1,"Директор (начальник) організації (дослідної, конструкторської, проектної)"
1210.1,"Директор (начальник, завідувач, інший керівник) філіалу (філії)"
1210.1,"Директор (начальник, інший керівник) підприємства"
1210.1,"Директор (інший керівник) підприємства, установи, організації фізкультурно-спортивної спрямованості"
1210.1,Директор видавництва
1210.1,Директор виконавчий
1210.1,Директор відділення
1210.1,Директор державного архіву
1210.1,Директор книжкової палати
1210.1,"Директор комплексу (оздоровчого, спортивного, туристського)"
1210.1,Директор лабораторії
1210.1,Директор навчально-курсового комбінату
1210.1,Директор навчального (навчально-тренувального) центру
1210.1,Директор навчального пункту
1210.1,"Директор об'єднання (творчого, творчо-виробничого, радіотелевізійного і т. ін.)"
1210.1,Директор обсерваторії
1210.1,Директор обчислювального (інформаційно-обчислювального) центру
1210.1,Директор пансіонату (кемпінгу)
1210.1,Директор представництва
1210.1,"Директор підприємства установи виконання покарань - заступник керівника (директора, начальника т. ін.) установи виконання покарань"
1210.1,Директор театру - художній керівник (генеральний директор театру - художній керівник)
1210.1,"Директор установи (підприємства, організації) культури (кінотеатру, кіновідеопрокату, кіностудії та ін.)"
1210.1,"Директор центру (метрології та стандартизації, телевізійного і т. ін.)"
1210.1,Директор центру професійної орієнтації молоді
1210.1,Завідувач аптеки (аптечного закладу)
1210.1,Завідувач бази аптечної
1210.1,"Керуючий (директор, інший керівник) комерційним банком"
1210.1,"Керуючий (директор, інший керівник) установою (підрозділом) Національного банку України"
1210.1,Керуючий (тимчасової адміністрації) для управління енергопостачальником
1210.1,Керуючий готельним господарством
1210.1,Керуючий підприємством харчування
1210.1,Керуючий трестом
1210.1,Керівник (директор) закладу дошкільної освіти
1210.1,Керівник (директор) закладу загальної середньої освіти
1210.1,Керівник (директор) закладу позашкільної освіти
1210.1,Керівник (директор) міжшкільного ресурсного центру
1210.1,Керівник (директор) установи (закладу) соціального захисту населення
1210.1,Керівник (директор) центру професійного розвитку
1210.1,Керівник (директор) інклюзивно-ресурсного центру
1210.1,"Керівник (директор, начальник тощо) закладу фахової передвищої освіти"
1210.1,"Керівник (директор, начальник і т. ін.) установи виконання покарань"
1210.1,"Керівник (директор, начальник) закладу професійної (професійно-технічної) освіти"
1210.1,"Керівник (директор, начальник) закладу спеціалізованої освіти"
1210.1,"Керівник (ректор, директор, начальник) закладу післядипломної освіти"
1210.1,"Керівник (ректор, президент, директор, начальник) закладу вищої освіти"
1210.1,"Керівник підприємства (установи, організації) (сфера захисту інформації)"
1210.1,"Керівник підприємства (установи, організації) охорони здоров'я (генеральний директор, директор, головний лікар та ін.)"
1210.1,"Керівник підрозділу юридичної особи, що здійснює діяльність з управління активами"
1210.1,Куратор банку
1210.1,Медичний директор
1210.1,Начальник (завідувач) лікувально-профілактичного закладу
1210.1,"Начальник агентства (повітряних сполучень, морського, рекламно-інформаційного, транспортно-експедиційного та ін.)"
1210.1,Начальник в'язниці
1210.1,Начальник державної воєнізованої гірничорятувальної служби
1210.1,Начальник дослідної організації
1210.1,Начальник експедиції гідрогеолого-меліоративної
1210.1,Начальник залізниці
1210.1,Начальник каналу
1210.1,Начальник курсів підвищення кваліфікації
1210.1,Начальник метрополітену
1210.1,Начальник навчального (навчально-тренувального) центру
1210.1,Начальник обчислювального (інформаційно-обчислювального) центру
1210.1,Начальник пароплавства
1210.1,Начальник управління
1210.1,Начальник училища
1210.1,"Начальник частини (воєнізованої, газо- та гірничорятувальної, льотної, пожежної)"
1210.1,"Начальник школи (вищої льотної підготовки, морехідної, начальницького складу, технічної)"
1210.1,Начальник штабу (головного штабу) оперативно-рятувальної служби цивільного захисту
1210.1,Начальник штабу пожежогасіння
1210.1,"Президент (голова правління, інший керівник) спілки, асоціації чи іншого об'єднання комерційних банків"
1210.1,Президент компанії
1210.1,Проректор закладу вищої освіти
1210.1,Тимчасовий адміністратор
1221.1,Головний агролісомеліоратор
1221.1,Головний агроном
1221.1,Головний агроном із захисту рослин
1221.1,Головний агрохімік
1221.1,Головний лісничий
1221.1,Головний лісопатолог
1221.1,Головний природознавець
1221.1,Головний фахівець із систем створення спеціального клімату
1221.1,Начальник нижнього складу
1221.2,Виконавець робіт (водне господарство)
1221.2,Головний механік (механізація меліоративних робіт)
1221.2,Головний інженер (експлуатаційні водогосподарські організації)
1221.2,Головний інженер з лісовпорядкування
1221.2,"Завідувач ветеринарної клініки (лікарні, поліклініки)"
